{'doc_id': 'CNA_ENG_19980523.0019', 'sentence_id': 1, 'h': {'id': 'Q903822', 'pos': [5, 8]}, 't': {'id': 'Q706973', 'pos': [38, 40]}, 'relation': 'P488@start'}
{'doc_id': 'CNA_ENG_19980608.0016', 'sentence_id': 1, 'h': {'id': 'Q903822', 'pos': [13, 16]}, 't': {'id': 'Q706973', 'pos': [17, 19]}, 'relation': 'P488@start'}
{'doc_id': 'CNA_ENG_19980623.0029', 'sentence_id': 4, 'h': {'id': 'Q903822', 'pos': [16, 19]}, 't': {'id': 'Q706973', 'pos': [20, 22]}, 'relation': 'P488@start'}
{'doc_id': 'CNA_ENG_19980624.0030', 'sentence_id': 1, 'h': {'id': 'Q903822', 'pos': [8, 11]}, 't': {'id': 'Q706973', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950222.0143', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [18, 21]}, 't': {'id': 'Q956652', 'pos': [4, 6]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950222.0151', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [18, 21]}, 't': {'id': 'Q956652', 'pos': [4, 6]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950313.0209', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [14, 18]}, 't': {'id': 'Q956652', 'pos': [7, 9]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950313.0230', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [14, 18]}, 't': {'id': 'Q956652', 'pos': [7, 9]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0001', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [11, 14]}, 't': {'id': 'Q956652', 'pos': [14, 16]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0133', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [23, 27]}, 't': {'id': 'Q956652', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0168', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [8, 11]}, 't': {'id': 'Q956652', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0258', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [6, 9]}, 't': {'id': 'Q956652', 'pos': [14, 16]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0303', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [4, 8]}, 't': {'id': 'Q956652', 'pos': [12, 14]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0336', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [9, 12]}, 't': {'id': 'Q956652', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0355', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [4, 8]}, 't': {'id': 'Q956652', 'pos': [12, 14]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950321.0485', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [8, 11]}, 't': {'id': 'Q956652', 'pos': [31, 33]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950322.0369', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [3, 6]}, 't': {'id': 'Q956652', 'pos': [22, 24]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950322.0380', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [3, 6]}, 't': {'id': 'Q956652', 'pos': [22, 24]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0137', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [17, 21]}, 't': {'id': 'Q956652', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0145', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [17, 21]}, 't': {'id': 'Q956652', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0201', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [6, 9]}, 't': {'id': 'Q956652', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0204', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [20, 23]}, 't': {'id': 'Q956652', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0206', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [20, 23]}, 't': {'id': 'Q956652', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0226', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [15, 18]}, 't': {'id': 'Q956652', 'pos': [4, 6]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0227', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [20, 23]}, 't': {'id': 'Q956652', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0254', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [16, 19]}, 't': {'id': 'Q956652', 'pos': [4, 6]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0284', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [16, 19]}, 't': {'id': 'Q956652', 'pos': [4, 6]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0396', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [14, 18]}, 't': {'id': 'Q956652', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19950323.0401', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [14, 18]}, 't': {'id': 'Q956652', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'AFP_ENG_20021014.0295', 'sentence_id': 19, 'h': {'id': 'Q17427', 'pos': [23, 27]}, 't': {'id': 'Q15029', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'AFP_ENG_20021014.0377', 'sentence_id': 20, 'h': {'id': 'Q17427', 'pos': [23, 27]}, 't': {'id': 'Q15029', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'AFP_ENG_20021014.0408', 'sentence_id': 22, 'h': {'id': 'Q17427', 'pos': [23, 27]}, 't': {'id': 'Q15029', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'AFP_ENG_20021216.0369', 'sentence_id': 2, 'h': {'id': 'Q193272', 'pos': [12, 18]}, 't': {'id': 'Q51005', 'pos': [27, 29]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980310.0812', 'sentence_id': 7, 'h': {'id': 'Q253414', 'pos': [23, 24]}, 't': {'id': 'Q483437', 'pos': [14, 16]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980312.0596', 'sentence_id': 28, 'h': {'id': 'Q253414', 'pos': [8, 9]}, 't': {'id': 'Q483437', 'pos': [6, 8]}, 'relation': 'P488@start'}
