{'doc_id': 'APW_ENG_20011021.0291', 'sentence_id': 3, 'h': {'id': 'Q889', 'pos': [12, 13]}, 't': {'id': 'Q188667', 'pos': [19, 21]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.0311', 'sentence_id': 3, 'h': {'id': 'Q889', 'pos': [12, 13]}, 't': {'id': 'Q188667', 'pos': [19, 21]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.0463', 'sentence_id': 12, 'h': {'id': 'Q889', 'pos': [19, 20]}, 't': {'id': 'Q188667', 'pos': [12, 14]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.0566', 'sentence_id': 4, 'h': {'id': 'Q889', 'pos': [16, 17]}, 't': {'id': 'Q188667', 'pos': [26, 28]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.0880', 'sentence_id': 22, 'h': {'id': 'Q889', 'pos': [8, 9]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.1030', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [14, 15]}, 't': {'id': 'Q188667', 'pos': [15, 17]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.1036', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [14, 15]}, 't': {'id': 'Q188667', 'pos': [15, 17]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011021.1063', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [14, 15]}, 't': {'id': 'Q188667', 'pos': [15, 17]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011022.0246', 'sentence_id': 11, 'h': {'id': 'Q889', 'pos': [29, 30]}, 't': {'id': 'Q188667', 'pos': [30, 32]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011023.0742', 'sentence_id': 3, 'h': {'id': 'Q889', 'pos': [26, 27]}, 't': {'id': 'Q188667', 'pos': [12, 14]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011024.1215', 'sentence_id': 35, 'h': {'id': 'Q889', 'pos': [21, 22]}, 't': {'id': 'Q188667', 'pos': [12, 14]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011024.1557', 'sentence_id': 4, 'h': {'id': 'Q889', 'pos': [14, 15]}, 't': {'id': 'Q188667', 'pos': [8, 10]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011026.0575', 'sentence_id': 3, 'h': {'id': 'Q889', 'pos': [7, 8]}, 't': {'id': 'Q188667', 'pos': [16, 18]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011027.0232', 'sentence_id': 9, 'h': {'id': 'Q889', 'pos': [0, 1]}, 't': {'id': 'Q188667', 'pos': [10, 12]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011027.0232', 'sentence_id': 9, 'h': {'id': 'Q889', 'pos': [0, 1]}, 't': {'id': 'Q188667', 'pos': [10, 12]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011027.0243', 'sentence_id': 9, 'h': {'id': 'Q889', 'pos': [0, 1]}, 't': {'id': 'Q188667', 'pos': [10, 12]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011027.0243', 'sentence_id': 9, 'h': {'id': 'Q889', 'pos': [0, 1]}, 't': {'id': 'Q188667', 'pos': [10, 12]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011103.0339', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [4, 5]}, 't': {'id': 'Q188667', 'pos': [38, 40]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011103.0631', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [4, 5]}, 't': {'id': 'Q188667', 'pos': [38, 40]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011104.0191', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [4, 5]}, 't': {'id': 'Q188667', 'pos': [38, 40]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_20011105.1394', 'sentence_id': 2, 'h': {'id': 'Q889', 'pos': [4, 5]}, 't': {'id': 'Q188667', 'pos': [30, 32]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0093', 'sentence_id': 35, 'h': {'id': 'Q889', 'pos': [25, 26]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0105', 'sentence_id': 22, 'h': {'id': 'Q889', 'pos': [24, 25]}, 't': {'id': 'Q188667', 'pos': [12, 14]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0121', 'sentence_id': 48, 'h': {'id': 'Q889', 'pos': [25, 26]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0154', 'sentence_id': 48, 'h': {'id': 'Q889', 'pos': [25, 26]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0161', 'sentence_id': 48, 'h': {'id': 'Q889', 'pos': [25, 26]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0162', 'sentence_id': 48, 'h': {'id': 'Q889', 'pos': [25, 26]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0163', 'sentence_id': 48, 'h': {'id': 'Q889', 'pos': [25, 26]}, 't': {'id': 'Q188667', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011020.0173', 'sentence_id': 22, 'h': {'id': 'Q889', 'pos': [24, 25]}, 't': {'id': 'Q188667', 'pos': [12, 14]}, 'relation': 'P35@start'}
{'doc_id': 'NYT_ENG_20011025.0024', 'sentence_id': 7, 'h': {'id': 'Q889', 'pos': [9, 10]}, 't': {'id': 'Q188667', 'pos': [5, 7]}, 'relation': 'P35@start'}
{'doc_id': 'LTW_ENG_19961103.0045', 'sentence_id': 12, 'h': {'id': 'Q218', 'pos': [6, 7]}, 't': {'id': 'Q299152', 'pos': [32, 34]}, 'relation': 'P35@start'}
{'doc_id': 'LTW_ENG_19961117.0036', 'sentence_id': 1, 'h': {'id': 'Q218', 'pos': [16, 17]}, 't': {'id': 'Q299152', 'pos': [9, 11]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_19941209.0035', 'sentence_id': 19, 'h': {'id': 'Q155', 'pos': [0, 1]}, 't': {'id': 'Q230578', 'pos': [17, 20]}, 'relation': 'P35@start'}
{'doc_id': 'APW_ENG_19941221.0451', 'sentence_id': 9, 'h': {'id': 'Q155', 'pos': [11, 12]}, 't': {'id': 'Q230578', 'pos': [15, 18]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000223.0132', 'sentence_id': 2, 'h': {'id': 'Q1037', 'pos': [3, 4]}, 't': {'id': 'Q1231345', 'pos': [6, 8]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000223.0132', 'sentence_id': 2, 'h': {'id': 'Q1037', 'pos': [3, 4]}, 't': {'id': 'Q1231345', 'pos': [6, 8]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000407.0050', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [0, 1]}, 't': {'id': 'Q7747', 'pos': [33, 35]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000407.0266', 'sentence_id': 8, 'h': {'id': 'Q159', 'pos': [21, 22]}, 't': {'id': 'Q7747', 'pos': [8, 10]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000411.0032', 'sentence_id': 2, 'h': {'id': 'Q159', 'pos': [15, 16]}, 't': {'id': 'Q7747', 'pos': [23, 25]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000411.0141', 'sentence_id': 4, 'h': {'id': 'Q159', 'pos': [22, 23]}, 't': {'id': 'Q7747', 'pos': [34, 36]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000411.0409', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [0, 1]}, 't': {'id': 'Q7747', 'pos': [11, 13]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000412.0095', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [0, 1]}, 't': {'id': 'Q7747', 'pos': [22, 24]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000413.0064', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [28, 29]}, 't': {'id': 'Q7747', 'pos': [2, 4]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000414.0054', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [0, 1]}, 't': {'id': 'Q7747', 'pos': [25, 27]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000414.0070', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [14, 15]}, 't': {'id': 'Q7747', 'pos': [21, 23]}, 'relation': 'P35@start'}
{'doc_id': 'XIN_ENG_20000414.0156', 'sentence_id': 4, 'h': {'id': 'Q159', 'pos': [21, 22]}, 't': {'id': 'Q7747', 'pos': [2, 4]}, 'relation': 'P35@start'}
