{'doc_id': 'APW_ENG_20010630.0094', 'sentence_id': 1, 'h': {'id': 'Q863396', 'pos': [0, 2]}, 't': {'id': 'Q650840', 'pos': [19, 22]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20011204.1101', 'sentence_id': 1, 'h': {'id': 'Q268914', 'pos': [5, 7]}, 't': {'id': 'Q24719', 'pos': [8, 11]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20011204.1128', 'sentence_id': 1, 'h': {'id': 'Q268914', 'pos': [5, 7]}, 't': {'id': 'Q24719', 'pos': [8, 11]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20011211.1352', 'sentence_id': 1, 'h': {'id': 'Q483577', 'pos': [3, 4]}, 't': {'id': 'Q7156', 'pos': [0, 2]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20011216.0387', 'sentence_id': 4, 'h': {'id': 'Q203657', 'pos': [21, 24]}, 't': {'id': 'Q134241', 'pos': [20, 21]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20011216.0407', 'sentence_id': 3, 'h': {'id': 'Q203657', 'pos': [21, 24]}, 't': {'id': 'Q134241', 'pos': [20, 21]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20011220.0119', 'sentence_id': 1, 'h': {'id': 'Q214233', 'pos': [9, 11]}, 't': {'id': 'Q128446', 'pos': [12, 14]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941203.0262', 'sentence_id': 1, 'h': {'id': 'Q380566', 'pos': [6, 8]}, 't': {'id': 'Q10315', 'pos': [19, 21]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941203.0309', 'sentence_id': 1, 'h': {'id': 'Q380566', 'pos': [6, 8]}, 't': {'id': 'Q10315', 'pos': [19, 21]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941203.0315', 'sentence_id': 1, 'h': {'id': 'Q380566', 'pos': [2, 4]}, 't': {'id': 'Q10315', 'pos': [12, 14]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941204.0282', 'sentence_id': 4, 'h': {'id': 'Q380566', 'pos': [0, 2]}, 't': {'id': 'Q10315', 'pos': [2, 4]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941204.0299', 'sentence_id': 4, 'h': {'id': 'Q380566', 'pos': [0, 2]}, 't': {'id': 'Q10315', 'pos': [2, 4]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941211.0283', 'sentence_id': 3, 'h': {'id': 'Q380566', 'pos': [0, 2]}, 't': {'id': 'Q10315', 'pos': [2, 4]}, 'relation': 'P54@end'}
