{'doc_id': 'NYT_ENG_19960603.0203', 'sentence_id': 32, 'h': {'id': 'Q133396', 'pos': [8, 9]}, 't': {'id': 'Q983154', 'pos': [2, 4]}, 'relation': 'P488@start'}
{'doc_id': 'CNA_ENG_19980704.0014', 'sentence_id': 1, 'h': {'id': 'Q903822', 'pos': [2, 5]}, 't': {'id': 'Q706973', 'pos': [27, 29]}, 'relation': 'P488@start'}
{'doc_id': 'CNA_ENG_19980707.0035', 'sentence_id': 1, 'h': {'id': 'Q903822', 'pos': [12, 15]}, 't': {'id': 'Q706973', 'pos': [17, 19]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19941221.0074', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [4, 8]}, 't': {'id': 'Q964396', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19941221.0079', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [4, 8]}, 't': {'id': 'Q964396', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19941221.0094', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [4, 8]}, 't': {'id': 'Q964396', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19941221.0105', 'sentence_id': 1, 'h': {'id': 'Q7825', 'pos': [4, 8]}, 't': {'id': 'Q964396', 'pos': [0, 2]}, 'relation': 'P488@start'}
{'doc_id': 'AFP_ENG_20020703.0208', 'sentence_id': 2, 'h': {'id': 'Q903822', 'pos': [28, 31]}, 't': {'id': 'Q22368', 'pos': [34, 36]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0568', 'sentence_id': 1, 'h': {'id': 'Q8901', 'pos': [23, 26]}, 't': {'id': 'Q159844', 'pos': [11, 13]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0596', 'sentence_id': 1, 'h': {'id': 'Q8901', 'pos': [22, 25]}, 't': {'id': 'Q159844', 'pos': [10, 12]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0712', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [12, 15]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0717', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [12, 15]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0728', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [13, 16]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0734', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [13, 16]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0759', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [14, 17]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0775', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [14, 17]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0794', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [14, 17]}, 't': {'id': 'Q159844', 'pos': [5, 7]}, 'relation': 'P488@start'}
{'doc_id': 'APW_ENG_19980502.0823', 'sentence_id': 2, 'h': {'id': 'Q8901', 'pos': [16, 19]}, 't': {'id': 'Q159844', 'pos': [9, 11]}, 'relation': 'P488@start'}
