{'doc_id': 'APW_ENG_20010401.0004', 'sentence_id': 19, 'h': {'id': 'Q956', 'pos': [9, 10]}, 't': {'id': 'Q148', 'pos': [32, 33]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0008', 'sentence_id': 1, 'h': {'id': 'Q44302', 'pos': [20, 21]}, 't': {'id': 'Q227', 'pos': [31, 32]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0011', 'sentence_id': 1, 'h': {'id': 'Q451957', 'pos': [5, 7]}, 't': {'id': 'Q16', 'pos': [18, 19]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0020', 'sentence_id': 19, 'h': {'id': 'Q160054', 'pos': [0, 1]}, 't': {'id': 'Q90', 'pos': [6, 7]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0051', 'sentence_id': 37, 'h': {'id': 'Q190094', 'pos': [0, 2]}, 't': {'id': 'Q1345', 'pos': [7, 8]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0065', 'sentence_id': 1, 'h': {'id': 'Q48', 'pos': [15, 16]}, 't': {'id': 'Q11708', 'pos': [32, 34]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0120', 'sentence_id': 19, 'h': {'id': 'Q36704', 'pos': [7, 8]}, 't': {'id': 'Q458', 'pos': [3, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0120', 'sentence_id': 19, 'h': {'id': 'Q159', 'pos': [3, 4]}, 't': {'id': 'Q37', 'pos': [22, 23]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0184', 'sentence_id': 20, 'h': {'id': 'Q736', 'pos': [21, 22]}, 't': {'id': 'Q77', 'pos': [18, 19]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0184', 'sentence_id': 51, 'h': {'id': 'Q8663', 'pos': [33, 35]}, 't': {'id': 'Q148', 'pos': [17, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0184', 'sentence_id': 51, 'h': {'id': 'Q717', 'pos': [3, 4]}, 't': {'id': 'Q96', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0264', 'sentence_id': 30, 'h': {'id': 'Q189823', 'pos': [1, 2]}, 't': {'id': 'Q42200', 'pos': [5, 6]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0295', 'sentence_id': 5, 'h': {'id': 'Q1537', 'pos': [13, 14]}, 't': {'id': 'Q1546', 'pos': [11, 12]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0295', 'sentence_id': 8, 'h': {'id': 'Q66048', 'pos': [12, 14]}, 't': {'id': 'Q1794', 'pos': [15, 16]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0305', 'sentence_id': 7, 'h': {'id': 'Q42200', 'pos': [17, 18]}, 't': {'id': 'Q148', 'pos': [0, 1]}, 'relation': 'NA'}
